Kommune,dif_2019,dif_2020,per_2019,per_2020,per_feb,per_mar
Albertslund,19.65502555366268,-50.96887844979449,119.65502555366268,49.03112155020551,-8.794718909710392,55.41911372130273
Ballerup,2.490508731966596,-42.196314403911245,102.49050873196659,57.80368559608875,0.03734674848324217,43.622001184395515
Brøndby,6.464745155512132,-35.257152306929065,106.46474515551215,64.74284769307094,2.0255159529940867,40.42021056644495
Dragør,-5.090236001850997,-37.18013045659809,94.909763998149,62.81986954340191,5.389028068103852,37.37789808167589
Frederiksberg,-3.2058893531496215,-45.327488951963495,96.79411064685037,54.6725110480365,24.262437612827863,57.220922960164
Gentofte,7.042724622666249,-43.369410731839565,107.04272462266624,56.630589268160435,-5.370422721314771,44.254136363045575
Gladsaxe,-0.9704880817253057,-39.32052670580859,99.0295119182747,60.67947329419141,14.858384527584818,47.83021462787454
Glostrup,3.259854287315515,-39.4801051051051,103.25985428731552,60.5198948948949,2.5263307072411956,42.87134858622249
Herlev,-1.737636051174329,-40.47982108366372,98.26236394882567,59.520178916336285,0.2118340653045613,39.55560143801011
Hvidovre,6.995282251504794,-39.66494415735956,106.99528225150479,60.33505584264045,-1.7550271122120924,42.619944413499
Høje-Taastrup,7.396193771626297,-43.41876088579248,107.3961937716263,56.58123911420751,32.68626223956416,64.53603653781886
Ishøj,16.116562592922985,-33.94409937888199,116.11656259292297,66.05590062111801,4.252155813261969,45.53137003841229
København,4.110967480096015,-45.4549802624841,104.11096748009601,54.5450197375159,15.57413699464579,55.76824924939587
Rødovre,-0.3947118005192155,-38.076416337285906,99.60528819948078,61.9235836627141,4.439311043566363,40.590902105424924
Tårnby,8.892417626042091,-36.14342411386342,108.89241762604209,63.85657588613658,4.275109170305679,43.86511119212542
Vallensbæk,7.317073170731718,-31.537793223284105,107.31707317073172,68.46220677671589,-22.05726405090139,22.134387351778663
