Kommune;Stopnr;Linje;Retn.;Stopnavn;På_201902;Af_201902;På_201903;Af_201903;På_202002;Af_202002;På_202003;Af_202003
Rødovre;100;200S;1;Fortvej;74;49;100;96;122;42;46;23
Tårnby;1000;34;1;Amagerhallen;0;38;11;7;1;18;0;8
København;10004;26;1;Langeliniekaj (Midt);6;37;3;32;;;;
København;10004;27;1;Langeliniekaj (Midt);;;;;0;0;0;0
København;10004;27;2;Langeliniekaj (Midt);;;;;0;0;0;0
København;10005;26;1;Langeliniekaj (Østmolen);0;43;0;56;;;;
København;10005;26;2;Langeliniekaj (Østmolen);41;1;51;1;;;;
København;10005;27;1;Langeliniekaj (Østmolen);;;;;0;0;16;0
København;10005;27;2;Langeliniekaj (Østmolen);;;;;0;0;0;0
København;10006;26;2;Langeliniekaj;10;0;11;0;;;;
København;10006;27;1;Langeliniekaj;;;;;0;0;0;0
København;10006;27;2;Langeliniekaj;;;;;9;0;8;0
København;10008;26;1;Indiakaj;2;15;2;8;;;;
København;10008;26;2;Indiakaj;96;6;114;6;;;;
København;10008;27;1;Indiakaj;;;;;19;0;0;17
København;10008;27;2;Indiakaj;;;;;46;24;47;4
Tårnby;1001;34;1;Løjtegårdsskolen;2;20;0;17;0;8;0;8
Gladsaxe;10010;160;2;Gladsaxevej;;;;;2;0;2;0
Gladsaxe;10010;164;2;Gladsaxevej;;;;;54;52;20;28
Gladsaxe;10010;166;1;Gladsaxevej;;;;;47;28;40;26
Gladsaxe;10010;42;2;Gladsaxevej;20;41;19;25;;;;
Gladsaxe;10010;68;1;Gladsaxevej;;;;;10;51;2;5
Gladsaxe;10013;160;1;Gladsaxe Møllevej;0;0;0;0;3;2;3;2
Gladsaxe;10013;164;1;Gladsaxe Møllevej;;;;;37;8;26;11
Gladsaxe;10013;166;2;Gladsaxe Møllevej;;;;;9;17;7;12
Gladsaxe;10013;42;1;Gladsaxe Møllevej;89;4;105;6;;;;
Gladsaxe;10013;68;2;Gladsaxe Møllevej;;;;;21;13;5;5
Gladsaxe;10014;160;1;Rosenkæret;0;0;0;0;0;0;0;0
Gladsaxe;10014;164;1;Rosenkæret;;;;;6;2;3;3
Gladsaxe;10014;166;2;Rosenkæret;;;;;6;13;1;11
Gladsaxe;10014;42;1;Rosenkæret;13;9;4;22;;;;
Gladsaxe;10014;68;2;Rosenkæret;;;;;6;7;1;2
Roskilde;10015;216;1;Vink - Lille Valby;0;0;0;0;0;0;0;0
Roskilde;10016;216;2;Vink - Lille Valby;0;0;0;0;0;0;0;0
København;10017;12;1;Nørrebro Bycenter;;;;;43;111;24;52
København;10017;4A;1;Nørrebro Bycenter;471;305;515;327;;;;
Frederikssund;10018;315;1;Færgegård;0;0;1;0;0;0;0;0
Frederikssund;10018;318;1;Færgegård;13;0;3;0;7;0;3;0
Dragør;1002;33;2;Store Magleby Strandvej;0;0;2;2;6;4;6;1
Greve;10021;224;1;Fløjterupvej;1;3;0;3;0;2;0;1
Greve;10022;224;1;Sortemosen;0;1;0;0;0;2;0;1
Greve;10023;224;2;Sortemosen;0;0;0;0;0;0;1;0
Greve;10024;224;2;Fløjterupvej;1;1;0;0;2;0;3;0
København;10025;10;1;Toftegårds Plads;;;;;134;125;72;83
København;10025;18;1;Toftegårds Plads;;;;;173;576;78;321
København;10025;1A;2;Toftegårds Plads;606;484;584;515;;;;
København;10025;4A;2;Toftegårds Plads;402;494;415;602;;;;
Hillerød;10029;65E;1;Hillerød st.;0;172;0;161;0;156;0;112
Hillerød;10029;65E;2;Hillerød st.;113;0;129;0;117;0;108;0
Dragør;1003;33;2;Fælledvej;0;0;0;2;1;0;0;0
Fredensborg;10030;370;2;Kovangen 302;0;2;0;1;0;1;0;0
Fredensborg;10030;374;2;Kovangen 302;0;0;0;0;0;0;0;0
Fredensborg;10031;370;2;Kovangen;1;1;1;1;1;1;0;1
Fredensborg;10031;374;2;Kovangen;1;0;0;0;1;0;1;0
Fredensborg;10032;370;2;Kovangen 302;2;2;2;3;1;1;2;1
Fredensborg;10032;374;2;Kovangen 302;1;0;1;0;1;0;1;0
Rudersdal;10034;170;2;Holte Midtpunkt;0;0;0;0;0;0;0;0
Rudersdal;10035;170;1;Holte Midtpunkt;6;40;18;45;12;50;13;15
Dragør;1004;33;2;Bachersmindelejren;0;0;0;0;0;2;0;0
Hillerød;10040;305;1;Trollesminde Allé;30;32;36;41;23;41;12;37
Hillerød;10040;600S;1;Trollesminde Allé;54;153;66;135;46;97;18;51
Hillerød;10040;65E;2;Trollesminde Allé;3;8;9;9;4;11;3;6
Hillerød;10041;305;1;Hillerød Handelsgymnasium Knord;156;305;289;405;284;291;187;313
Hillerød;10042;305;1;Trollesminde Allé;38;15;51;33;47;22;47;16
Hillerød;10042;600S;2;Trollesminde Allé;91;78;90;82;81;85;16;81
Hillerød;10042;65E;1;Trollesminde Allé;16;7;14;9;16;9;6;5
Roskilde;10043;220;1;Roskilde st., Sygehuset;140;121;124;139;83;112;60;91
Roskilde;10043;240;1;Roskilde st., Sygehuset;0;8;0;11;0;6;0;7
Roskilde;10043;600S;2;Roskilde st., Sygehuset;728;462;740;538;738;558;355;251
Roskilde;10044;202A;1;Roskilde st., Sygehuset;122;0;184;0;34;0;;
Roskilde;10044;202A;2;Roskilde st., Sygehuset;;;;;0;0;;
Roskilde;10044;220;2;Roskilde st., Sygehuset;133;189;142;155;96;141;87;124
Roskilde;10044;600S;1;Roskilde st., Sygehuset;544;816;640;768;584;763;301;384
Gladsaxe;10047;166;1;Novembervej;13;18;16;28;48;19;38;17
Dragør;1005;33;1;Bachersmindelejren;2;0;0;0;0;1;0;1
Roskilde;10051;206;1;Astersvej;2;10;2;11;2;10;1;11
Roskilde;10051;600S;2;Astersvej;144;48;179;86;121;73;54;51
Roskilde;10052;206;2;Astersvej;0;0;4;0;4;0;1;0
Roskilde;10052;600S;1;Astersvej;51;125;49;127;51;111;34;60
København;10053;22;1;Frederikssundsvej;126;8;192;11;136;12;114;7
København;10054;10;2;Gasværksvej;47;91;35;102;;;;
København;10054;14;1;Gasværksvej;69;67;119;69;;;;
København;10054;23;1;Gasværksvej;;;;;24;47;17;32
København;10055;10;2;Hovedbanegården;9;454;8;478;;;;
København;10055;14;1;Hovedbanegården;53;383;76;348;;;;
København;10055;23;1;Hovedbanegården;;;;;24;142;11;85
København;10057;10;1;Hovedbanegården;411;7;439;11;;;;
København;10057;14;2;Hovedbanegården;425;72;477;76;;;;
København;10057;23;2;Hovedbanegården;;;;;127;44;81;24
Greve;10058;120;1;Greve Centervej;9;18;7;33;8;24;0;18
Greve;10058;600S;2;Greve Centervej;21;60;16;51;13;51;11;25
Lyngby-Taarbæk;10059;182;1;Lyngby st.;;;;;;;80;97
Lyngby-Taarbæk;10059;183;1;Lyngby st.;;;;;;;79;64
Lyngby-Taarbæk;10059;191;1;Lyngby st.;0;251;0;266;0;337;0;94
Lyngby-Taarbæk;10059;191;2;Lyngby st.;253;0;321;1;226;0;59;0
Lyngby-Taarbæk;10059;192;1;Lyngby st.;227;0;205;1;219;1;82;2
Lyngby-Taarbæk;10059;192;2;Lyngby st.;0;267;0;282;0;274;0;72
Lyngby-Taarbæk;10059;388;1;Lyngby st.;;;;;;;45;0
Lyngby-Taarbæk;10059;388;2;Lyngby st.;;;;;;;0;66
Dragør;1006;33;1;Fælledvej;6;0;2;0;0;0;1;2
#I/T;10068;78;1;Amager Centret;9;14;11;13;;;;
Hillerød;10069;325;2;Hillerødmotorvejen;0;3;0;1;0;1;0;0
Dragør;1007;33;2;Kalvebodvej;2;2;2;2;2;0;1;7
Rudersdal;10070;334;1;Rønnebærvej;38;0;36;4;54;1;42;2
Rudersdal;10070;354;1;Rønnebærvej;45;4;64;0;37;4;30;3
Rudersdal;10070;385;1;Rønnebærvej;43;2;47;3;51;4;6;1
Rudersdal;10070;94N;2;Rønnebærvej;0;0;0;0;0;0;0;0
Allerød;10071;335;2;Vassingerødvej;17;6;14;5;19;8;13;6
Allerød;10072;335;1;Vassingerødvej;8;14;4;7;9;25;11;9
Hillerød;10077;307;2;Hillerødvej;7;1;9;1;6;1;2;0
Hillerød;10078;307;1;Hillerødvej;0;1;0;23;0;3;0;0
Herlev;10079;165;2;Sortemosevej;11;10;21;5;;;;
Herlev;10079;400;1;Sortemosevej;3;10;0;1;6;6;1;5
Herlev;10079;400S;1;Sortemosevej;37;53;38;60;43;44;24;18
Herlev;10079;40E;1;Sortemosevej;43;43;31;36;24;49;14;14
Dragør;1008;33;2;Kongelunden;0;0;2;0;2;0;2;0
Roskilde;10084;202A;2;Roskilde st., Sygehuset;15;537;14;589;18;283;7;150
Roskilde;10084;212;1;Roskilde st., Sygehuset;0;60;0;38;1;45;2;46
Tårnby;10085;36;1;Ellehammersvej;22;15;26;3;7;1;3;0
Tårnby;10086;36;2;Ellehammersvej;0;22;0;27;8;24;10;12
#I/T;1009;33;2;Westland Allé;0;0;3;2;;;;
Frederiksberg;10090;71;1;Hospitalsvej;0;0;1;1;1;0;0;0
Rødovre;101;132;2;Tæbyvej;;;;;13;7;8;5
Rødovre;101;161;1;Tæbyvej;9;9;16;8;18;15;18;11
Rødovre;101;200S;1;Tæbyvej;76;94;109;122;54;88;47;50
Rødovre;101;9A;2;Tæbyvej;67;132;56;181;;;;
Tårnby;1010;33;2;Frieslandsvej;9;0;13;0;11;1;28;2
Frederiksberg;10102;71;1;Bülowshallen;3;3;3;2;0;0;6;3
Frederiksberg;10105;74;1;Frederiksberg Hospital;11;7;6;3;14;12;14;12
Frederiksberg;10106;74;1;Frederiksberg Hospital;1;3;2;0;6;9;5;9
Allerød;10108;335;1;Allerød st.;197;146;197;145;200;110;122;74
Allerød;10108;336;2;Allerød st.;397;85;368;93;252;75;196;70
Allerød;10108;381;1;Allerød st.;0;287;1;328;0;281;0;202
Allerød;10108;385;1;Allerød st.;68;160;90;110;65;99;30;16
Allerød;10108;55E;2;Allerød st.;0;225;0;269;0;201;1;137
Tårnby;1011;33;2;Goudavej;12;0;13;0;7;0;7;0
Frederiksberg;10110;74;1;Dronning Olgas Vej;20;19;35;17;44;17;43;16
Frederiksberg;10111;74;1;Frederiksberg Svømmehal;19;8;14;14;16;14;16;13
Frederiksberg;10114;74;1;Godthåbsvej;2;6;2;6;1;8;1;7
København;10115;12;1;Kildevældsparken;;;;;56;76;29;32
København;10115;4A;1;Kildevældsparken;172;201;192;193;;;;
København;10116;12;1;Nygårdsvej;;;;;94;65;41;32
København;10116;4A;1;Nygårdsvej;261;202;295;200;;;;
Lyngby-Taarbæk;10120;150S;1;Klampenborgvej;551;194;652;151;677;142;276;48
Lyngby-Taarbæk;10121;150S;2;Klampenborgvej;82;493;145;511;146;566;55;242
Tårnby;1013;36;2;Oliefabriksvej;22;8;14;13;8;6;15;3
Hillerød;10134;321;1;Tilsbækgård;0;0;0;0;0;0;0;0
Hillerød;10134;337;2;Tilsbækgård;4;0;2;0;2;0;2;0
Tårnby;1014;36;2;Egensevej;196;0;21;8;13;9;22;3
Greve;10148;224;1;Greve st.;84;87;73;84;81;67;56;52
Greve;10148;224;2;Greve st.;55;48;89;58;56;57;50;38
Tårnby;1015;36;2;Præstefælledvej;7;14;54;7;11;14;12;14
Stevns;10152;252;2;Arnøje;7;0;9;4;6;2;1;2
Stevns;10156;252;1;Arnøje;0;5;1;9;1;7;0;12
Stevns;10156;255;1;Arnøje;0;0;0;0;;;;
Egedal;10160;312;1;Ring Nord;10;5;1;4;0;7;2;9
Egedal;10163;312;2;Ring Nord;3;13;3;3;5;2;5;2
Roskilde;10167;93N;2;Kong Valdemars Vej;0;0;0;0;0;0;0;0
Tårnby;1017;250S;1;Irlandsvej;;;;;205;87;153;45
Tårnby;1017;350S;2;Irlandsvej;240;71;263;126;;;;
Tårnby;1017;36;2;Irlandsvej;7;23;19;35;37;25;20;17
Frederiksberg;10191;72;1;Peter Bangs Vej;2;3;4;4;0;0;0;0
Frederiksberg;10192;72;1;Marielystvej;11;3;9;22;0;4;0;4
Frederiksberg;10193;72;1;Marielystvej Midt;23;27;26;25;72;35;69;34
Frederiksberg;10195;72;1;Nordens Plads;72;54;70;64;63;31;61;31
Frederiksberg;10196;6A;1;Solbjerg Kirkegård;77;27;75;32;;;;
Frederiksberg;10196;72;1;Solbjerg Kirkegård;;;;;6;13;6;12
Frederiksberg;10196;7A;1;Solbjerg Kirkegård;;;;;104;36;51;21
Roskilde;10199;201A;2;Himmelev Center;102;33;149;50;90;61;66;32
Roskilde;10199;209;2;Himmelev Center;4;0;3;0;3;0;2;1
Rødovre;102;132;2;Rødovre Rådhus;;;;;4;16;0;17
Rødovre;102;161;1;Rødovre Rådhus;3;14;7;21;6;29;5;8
Rødovre;102;9A;2;Rødovre Rådhus;36;89;47;105;;;;
Tårnby;1020;250S;2;Korsvejens Skole;;;;;107;256;79;141
Tårnby;1020;350S;1;Korsvejens Skole;107;272;118;310;;;;
Tårnby;1020;36;1;Korsvejens Skole;91;68;55;41;83;42;47;15
Roskilde;10200;204;1;Valhalvej;0;2;0;0;1;1;0;0
Roskilde;10200;209;1;Valhalvej;1;1;0;1;0;0;0;1
Hvidovre;10202;4A;1;Friheden st.;;;;;847;7;593;9
Hvidovre;10202;4A;2;Friheden st.;;;;;8;928;3;673
Hvidovre;10202;8A;1;Friheden st.;739;5;828;0;;;;
Hvidovre;10202;8A;2;Friheden st.;1;882;0;810;;;;
Køge;10207;103;1;Køge Torv;3;21;8;22;3;12;2;11
Køge;10210;103;1;Pedersvej;0;0;1;1;0;2;0;1
Køge;10211;101A;2;Vandstjernevej;58;6;67;10;66;5;39;4
Køge;10212;101A;2;Klemmenstrupgård;90;5;93;8;114;7;66;4
Køge;10213;101A;2;Lerbæk Torv;131;25;122;23;132;19;78;13
Køge;10213;103;1;Lerbæk Torv;3;0;4;5;3;3;5;8
Køge;10214;101A;2;Hastrupparken;131;3;179;4;116;12;89;3
Køge;10214;103;1;Hastrupparken;1;0;1;1;1;0;1;0
Køge;10215;103;1;Lotusvej;0;0;0;1;2;0;5;0
Køge;10216;103;1;Primulavej;5;3;2;2;3;7;2;5
Stevns;10217;253;1;Varpelev;2;2;0;1;0;0;0;0
Stevns;10217;253;2;Varpelev;0;0;1;1;0;0;0;0
Stevns;10217;255;1;Varpelev;0;0;0;0;;;;
#I/T;10218;145;1;Skovlunde st.;0;0;2;0;;;;
Tårnby;1022;250S;2;Irlandsvej;;;;;66;204;57;127
Tårnby;1022;350S;1;Irlandsvej;106;235;91;259;;;;
Tårnby;1022;36;1;Irlandsvej;30;83;26;6;34;35;25;40
Glostrup;10232;93N;2;Hovedvejen;0;0;0;3;3;3;0;2
Gentofte;10239;166;1;Hellerup st.;296;38;249;102;;;;
Gentofte;10239;166;2;Hellerup st.;0;22;0;23;;;;
Gentofte;10239;192;2;Hellerup st.;;;;;331;189;187;93
Tårnby;1024;36;1;Englandsvej;12;15;29;41;17;34;10;25
København;10244;23;2;Sjælør Boulevard;;;;;7;17;6;10
København;10244;97N;1;Sjælør Boulevard;0;0;0;2;3;2;0;1
København;10244;9A;1;Sjælør Boulevard;;;;;7;74;3;43
København;10245;10;2;Spontinisvej;31;92;25;70;;;;
København;10245;23;1;Spontinisvej;;;;;22;21;11;21
København;10245;3A;2;Spontinisvej;100;10;125;6;;;;
København;10245;97N;2;Spontinisvej;0;0;0;0;1;0;0;0
København;10245;9A;2;Spontinisvej;;;;;65;6;57;3
Vallensbæk;10246;97N;1;Kollerupparken;0;0;0;0;0;0;0;0
Vallensbæk;10247;97N;2;Kollerupparken;0;0;0;0;0;0;0;0
Tårnby;1025;36;1;Præstefælledvej;7;53;23;38;17;8;16;12
Greve;10250;97N;2;Greve st.,Greve Centervej;5;0;4;0;2;1;1;0
Greve;10251;97N;1;Greve st.,Greve Centervej;0;1;2;2;1;8;0;2
Greve;10252;224;1;Greve Strandvej;0;2;3;0;0;2;0;2
Greve;10252;224;2;Greve Strandvej;0;0;0;0;0;0;0;1
Greve;10252;97N;2;Greve Strandvej;0;0;0;0;1;0;0;0
Dragør;10256;33;1;Køjevænget;0;7;13;10;0;2;2;19
Hillerød;10257;301;1;Smedievej Midt;3;7;1;5;0;9;1;2
Hillerød;10258;301;2;Smedievej Midt;3;0;4;1;7;0;1;0
Tårnby;1026;36;1;Egensevej;0;0;0;6;1;11;1;9
Furesø;10261;332;1;Frederiksborgvej;0;0;0;0;0;0;0;0
Hillerød;10262;301;2;Texasvej;6;2;14;4;5;1;3;0
Hillerød;10263;301;2;Kongens Vænge 133 - 173;2;1;6;1;2;2;1;1
Hillerød;10264;301;1;Texasvej;0;3;0;12;5;4;0;3
Hillerød;10265;301;1;Kongens Vænge 133 - 173;1;4;2;2;0;2;2;7
Køge;10267;103;1;Boskovcentret;1;0;0;0;0;1;0;0
Greve;10271;224;1;Tune Mark;1;2;3;0;1;5;0;2
Greve;10272;224;2;Tune Mark;4;0;3;0;2;1;1;1
Lyngby-Taarbæk;10273;182;1;Helsingørmotorvejen;17;17;13;18;13;22;6;14
Lyngby-Taarbæk;10273;388;2;Helsingørmotorvejen;15;21;9;23;11;25;16;12
Furesø;10275;165;1;Åvej;1;2;3;1;3;1;4;1
Furesø;10275;851;1;Åvej;0;0;0;1;1;1;1;1
Brøndby;10283;97N;1;Brøndby Strand st.;0;3;1;4;0;5;0;1
#I/T;10285;132;2;Vigerslev Allé;10;15;3;21;;;;
#I/T;10285;133;2;Vigerslev Allé;23;103;19;89;;;;
Tårnby;1029;33;1;Goudavej;0;13;0;12;1;9;0;8
Roskilde;10299;204;1;Bernadottegården;0;6;1;4;1;6;0;0
Roskilde;10299;204;2;Bernadottegården;4;1;2;0;1;0;0;3
Rødovre;103;21;1;Rødovre st.;0;354;1;421;4;374;3;288
Rødovre;103;21;2;Rødovre st.;368;1;407;1;409;1;305;2
Tårnby;1030;33;1;Frieslandsvej;0;2;0;5;0;5;0;9
#I/T;1031;33;1;Westland Allé;0;0;0;2;;;;
Albertslund;10312;93N;2;Fængselsvej;0;2;0;4;0;6;0;1
Dragør;1032;33;1;Kongelunden;0;0;0;2;0;6;0;4
København;1034;37;2;Christmas Møllers Plads;3;30;2;29;;;;
København;1034;37;1;Christmas Møllers Plads;;;;;5;30;4;16
København;1035;37;2;Uplandsgade;1;13;0;9;;;;
København;1035;37;1;Uplandsgade;;;;;2;14;0;5
Lyngby-Taarbæk;10367;183;1;Helsingørmotorvejen;14;7;10;14;11;4;7;3
Lyngby-Taarbæk;10367;388;1;Helsingørmotorvejen;13;3;12;3;2;6;4;1
Gentofte;10369;388;1;Krathusvej;1;8;3;9;2;7;1;2
Gentofte;10370;388;2;Krathusvej;10;2;7;2;4;1;3;2
Solrød;10371;220;2;Solrød Strand st.;2;95;0;121;0;96;0;105
#I/T;1038;77;1;Ved Amagerbanen;0;0;0;0;;;;
Roskilde;10380;201A;1;Stændertorvet;149;127;165;100;154;102;86;63
Roskilde;10380;204;1;Stændertorvet;25;2;35;0;18;2;14;0
Roskilde;10380;209;1;Stændertorvet;9;1;36;2;6;0;12;2
Roskilde;10381;205;2;Æblehaven;5;14;3;12;12;33;10;23
Roskilde;10382;206;1;Hedeboparken;14;15;21;23;9;22;7;13
Roskilde;10382;206;2;Hedeboparken;;;;;;;1;0
Roskilde;10383;206;1;Hedemølleparken;0;2;3;7;1;9;2;0
Roskilde;10383;206;2;Hedemølleparken;;;;;;;1;0
Roskilde;10388;204;1;Lokalcentret Bernadottegården;2;5;0;8;2;6;2;13
Roskilde;10388;204;2;Lokalcentret Bernadottegården;10;0;18;1;11;2;15;0
København;10396;10;1;Gasværksvej;52;12;59;20;;;;
København;10396;14;2;Gasværksvej;41;38;18;23;;;;
København;10396;23;2;Gasværksvej;;;;;27;15;12;5
Glostrup;10397;300S;2;Glostrup st.;836;582;892;646;838;563;545;355
Glostrup;10397;500S;2;Glostrup st.;616;587;577;565;511;575;327;303
Lyngby-Taarbæk;10399;170;2;Lyngby Kirke;13;46;6;37;1;34;8;46
Lyngby-Taarbæk;10399;184;1;Lyngby Kirke;40;45;51;55;47;45;24;21
Lyngby-Taarbæk;10399;194;2;Lyngby Kirke;9;36;6;41;10;31;6;22
Lyngby-Taarbæk;10399;94N;1;Lyngby Kirke;3;0;0;0;0;0;0;0
Hvidovre;104;1A;2;Hvidovre Hospital. Kollegiet;137;91;153;118;121;84;102;53
Køge;10411;101A;2;Ølby st.;512;591;709;655;64;501;98;276
Roskilde;10414;358;1;Roskilde St.;131;0;150;1;;;;
Roskilde;10414;358;2;Roskilde St.;0;85;0;93;0;10;0;11
Hillerød;10415;337;2;Skovkrogen;0;0;0;0;5;0;1;0
Dragør;10417;33;2;Køjevænget;52;0;18;6;11;2;13;0
Furesø;10421;333;1;Plejehjemmet Lillevang;7;13;15;15;14;14;12;9
Furesø;10423;333;1;Farum Gydevej Nord, (Farum vest);6;16;7;14;3;14;5;17
Furesø;10424;333;1;Ryttervænget;6;8;2;3;2;6;2;14
København;10426;18;1;Valby St., broen;;;;;637;641;253;364
København;10426;4A;2;Valby st.;1431;1199;1501;1385;;;;
København;10426;4A;1;Valby St., broen;;;;;1224;1186;482;459
København;10426;8A;1;Valby st.;987;1028;970;1174;;;;
København;10427;18;2;Valby St., broen;;;;;852;557;473;287
København;10427;4A;1;Valby st.;1476;1386;1555;1568;;;;
København;10427;4A;2;Valby St., broen;;;;;1441;1311;777;694
København;10427;8A;2;Valby st.;1341;1034;1256;1054;;;;
Allerød;10428;381;2;Sortemosevej, Niras;4;45;4;28;3;38;3;32
Allerød;10428;385;2;Sortemosevej, Niras;18;73;13;40;27;63;5;67
Allerød;10429;381;1;Sortemosevej, Niras;33;6;28;3;41;6;16;8
Allerød;10429;385;1;Sortemosevej, Niras;43;9;8;14;30;17;1;6
Stevns;10431;108;1;Æblevej;0;0;0;0;0;0;0;0
Stevns;10431;109;1;Æblevej;0;0;0;2;0;1;0;0
Stevns;10431;251;1;Æblevej;1;5;3;9;1;7;1;3
Stevns;10431;253;1;Æblevej;0;0;0;0;0;0;0;0
Tårnby;10432;35;1;Københavns Lufthavn;0;463;0;307;0;500;0;317
Tårnby;10432;36;2;Københavns Lufthavn;0;14;0;60;0;21;0;8
Tårnby;10432;5C;1;Københavns Lufthavn;5;308;7;337;0;311;0;206
Tårnby;10438;36;2;Skøjtevej;0;8;11;3;6;14;1;1
Tårnby;10438;5C;1;Skøjtevej;2;43;1;47;2;38;3;12
Ballerup;10439;158;1;Måløv st.;156;0;113;0;163;0;142;0
Ballerup;10439;158;2;Måløv st.;0;29;0;27;0;33;0;33
Ballerup;10439;163;1;Måløv st.;0;47;0;49;0;25;0;38
Ballerup;10439;163;2;Måløv st.;36;1;37;0;51;0;32;0
Gribskov;10441;363;2;Lundebakken;0;0;0;0;0;3;0;0
Gribskov;10442;363;1;Lundebakken;0;1;1;0;0;0;2;2
#I/T;10443;151;2;Lille Værløsevej;7;5;7;10;7;5;3;2
Furesø;10444;151;2;Mosegård Park;3;4;2;3;2;5;2;3
#I/T;10445;151;2;Birgersvej;7;5;5;5;2;2;2;1
Egedal;10451;157;1;Latyrushaven;19;39;19;42;13;27;13;25
Egedal;10452;157;1;Åkandehaven;11;28;12;31;20;29;10;20
Egedal;10453;157;1;Primulahaven;19;23;16;28;23;33;17;21
Egedal;10454;157;1;Smørumnedrevej;18;39;19;39;13;44;17;20
Egedal;10455;157;1;Erantishaven Midt;17;22;14;29;12;14;10;11
Egedal;10456;157;1;Frugtvangen;8;15;11;12;7;11;5;12
Egedal;10457;157;1;Havrevej;0;2;2;3;3;2;0;1
Egedal;10458;157;1;Kirsebærvangen;22;20;22;18;23;22;20;8
København;1046;37;1;Ved Amagerbanen;20;1;15;0;;;;
København;1046;37;2;Ved Amagerbanen;;;;;2;0;1;0
København;1046;78;1;Ved Amagerbanen;4;1;;;;;;
Dragør;10460;33;1;Magleby Torv;0;26;16;16;1;9;3;5
Dragør;10461;33;2;Magleby Torv;15;0;21;5;9;2;4;2
Allerød;10471;336;1;Skovfryd;1;4;1;6;0;5;1;4
Allerød;10472;336;1;Sandholmgårdsvej;1;8;0;9;4;12;4;6
Allerød;10472;381;1;Sandholmgårdsvej;2;0;5;2;3;0;1;1
Gladsaxe;10484;165;2;Smørmosevej;19;8;18;20;24;6;6;6
Gladsaxe;10485;165;2;Laurentsvej 45;0;2;0;0;2;1;0;0
Gladsaxe;10486;165;2;Krogshøjvej;1;8;2;6;7;5;8;3
Gladsaxe;10487;165;1;Krogshøjvej;3;4;3;0;3;1;2;4
Gladsaxe;10488;165;1;Laurentsvej 45;1;4;1;5;1;1;2;2
Gladsaxe;10489;165;1;Laurentsvej;3;12;9;16;6;13;2;9
København;1049;37;1;Uplandsgade;5;1;6;0;;;;
København;1049;37;2;Uplandsgade;;;;;8;0;3;0
Furesø;10490;332;1;Bybækhallen;61;6;41;8;49;10;60;8
Furesø;10491;332;1;Marie Kruses Skole;0;2;0;19;4;5;2;6
Tårnby;10497;35;2;Cirklen;392;7;162;8;252;3;135;2
Tårnby;10498;35;1;Cirklen;0;8;4;6;2;40;1;30
Hvidovre;105;133;1;Brostykkevej;4;7;6;9;1;6;4;0
Rudersdal;10500;170;2;Rønnebærvej;67;1;61;1;48;0;35;4
Ballerup;10503;147;1;Smørumvej;1;2;1;5;0;4;1;2
Ballerup;10508;147;1;Måløv st.;132;46;110;55;130;74;83;39
Ballerup;10508;157;1;Måløv st.;56;122;37;135;41;120;22;93
København;10526;18;1;Sundbyvester Plads;;;;;295;104;156;70
København;10526;4A;2;Sundbyvester Plads;326;131;379;153;;;;
Roskilde;10527;216;2;Herringløse Sportsplads;3;0;2;0;5;0;2;0
Roskilde;10528;216;1;Herringløse Sportsplads;0;4;0;1;0;3;0;0
Gentofte;1053;164;2;Gentofte Hospital;;;;;76;64;42;32
Gentofte;1053;166;1;Gentofte Hospital;62;97;43;99;;;;
Gentofte;1053;172;1;Gentofte Hospital;;;;;8;6;4;2
Gentofte;1053;179;1;Gentofte Hospital;10;22;17;21;;;;
Gentofte;1053;185;2;Gentofte Hospital;;;;;74;33;41;23
Gentofte;1053;192;2;Gentofte Hospital;35;32;40;41;53;100;33;56
Brøndby;10531;22;1;Åskellet;;;;;11;11;4;12
Brøndby;10531;300S;2;Åskellet;20;22;25;28;43;30;31;51
Brøndby;10531;500S;2;Åskellet;31;36;23;28;32;17;23;31
Brøndby;10532;300S;1;Åskellet;33;30;27;22;20;27;18;16
Brøndby;10532;500S;1;Åskellet;23;21;26;18;31;16;20;11
Brøndby;10537;22;1;Plovmarksvej;2;0;2;4;1;1;1;0
Brøndby;10538;22;1;Plovmarksvej;1;0;0;0;1;2;1;1
Brøndby;10539;22;1;Park Allé;0;2;0;2;0;4;0;6
Albertslund;10544;144;1;Albo Omsorgscenter;5;0;3;3;2;1;1;0
Helsingør;10547;345;2;Skolestien;0;0;0;1;1;0;1;0
Helsingør;10548;345;1;Skolestien;0;0;1;1;1;3;1;3
Gribskov;10550;320R;1;Hesselbjergvej;0;0;0;1;0;0;0;0
Hørsholm;10551;381;2;Transformatorstationen;0;0;0;0;0;0;0;0
Hørsholm;10552;383;1;Kokkedal st.;20;38;40;36;27;41;18;26
Hørsholm;10552;383;2;Kokkedal st.;47;53;75;69;58;52;36;37
Hørsholm;10554;500S;1;Kokkedal st.;621;2;643;3;470;1;282;0
Hørsholm;10554;500S;2;Kokkedal st.;2;516;0;495;9;488;7;310
Hørsholm;10555;353;1;Kokkedal st.;115;0;135;0;86;0;68;0
Hørsholm;10555;353;2;Kokkedal st.;1;211;0;196;1;201;0;98
København;10559;27;1;Færgehavn Nord;37;17;13;33;25;48;24;6
København;10560;27;1;Nordsøvej;0;3;3;3;0;0;0;0
København;10561;27;1;Nordsøvej;4;11;16;12;19;0;18;0
