,Date,Albertslund,Ballerup,Brøndby,Dragør,Frederiksberg,Gentofte,Gladsaxe,Glostrup,Herlev,Hvidovre,Høje-Taastrup,Ishøj,København,Rødovre,Tårnby,Vallensbæk,DayOfWeek
0,2020-02-04,31.323342544909828,30.14344935210255,30.538492059095223,32.567539619924986,19.480331141283138,28.70889147029922,25.52487343563052,26.439932272617952,24.054064865644445,27.71776809508333,32.61054404070239,32.87667038471429,22.369331300340082,24.932438919645843,28.53088331432836,30.46749589760869,Tuesday
1,2020-02-05,30.783973966520648,30.301665928717952,30.87270158439252,32.412099082750004,19.397139548265066,27.190605257142852,25.221372587524773,27.1760926403146,24.08199300611112,27.13374591046666,32.38154678349604,32.94119517928572,22.48751403987038,23.64151574010067,28.7504783872388,31.369849394565218,Wednesday
2,2020-02-06,32.08742418655738,29.52744208096939,29.882690623177563,32.943987899250004,20.082226791849397,27.167296832357135,25.326895563940905,25.940294967539337,24.094773968333342,27.235655664168057,32.586274377470104,31.83675142857142,22.48926824169247,23.579985746463088,28.426240683059696,30.85302976282608,Thursday
3,2020-02-07,30.773085513132244,29.615255917081612,30.45772104467289,33.3252216089125,20.0853828329759,27.852363644000008,25.235030334497537,26.651593210089885,24.116163831766663,27.66066829754622,32.423261569725085,32.40828792814285,22.581190194332255,24.043099188563755,29.667629360740737,30.402813308478265,Friday
4,2020-02-08,32.85138534356521,33.31755394611175,35.100398087745276,35.2319361029125,23.238698440066276,29.908791651161042,28.499797879358287,31.700052771911388,27.50112597641976,31.961928684242416,32.681433692552744,38.423331543636365,25.916597967026032,28.534140696936177,32.76034895947367,35.261064029555556,Saturday
5,2020-02-09,30.33219659020202,33.272971459111126,33.66061418036112,36.33472000685001,23.335957060206056,29.953110779738793,28.34028027580646,30.897586569113923,28.008106056419745,30.19861088767678,32.65320864417432,34.45789009892308,25.576891134214755,28.666879872163125,32.56464808360903,30.8672847868421,Sunday
6,2020-02-10,30.763312621239677,30.38029821421875,30.20025975551402,32.906590190225,20.56399774213856,28.150769692464294,26.411854471123178,26.714076203235948,24.463050684433338,27.841398869125012,31.231467865179287,32.14926927028572,23.17885953929545,24.44764668284564,29.504337311641784,30.08688252282609,Monday
7,2020-02-11,31.219629419442622,29.530984817864592,29.775440508224303,32.97788413758751,20.40140528499999,28.099215327081858,25.90897779216916,26.948340634269666,24.263882869111107,27.78898238456302,31.510197547474093,32.29055215928572,23.150626043381845,24.37610030115436,29.63606737917912,30.409912481086952,Tuesday
8,2020-02-12,31.15436577431406,30.436822234591865,30.280164131588776,33.46224699091249,20.70238214157831,28.11376677444841,25.65326156375744,27.145590127224718,24.54772916047778,27.742114922184864,31.152599973975903,32.46295708371429,23.316411617467608,24.17030597938924,29.547620966194042,30.62808560565217,Wednesday
9,2020-02-13,30.884362378512403,30.174604241020415,30.563339156822433,33.16046141638749,20.29360717730121,28.32383274129181,26.456891069704444,26.87581772539326,24.355544638699996,27.925293047583345,31.50166617723886,32.434532526285714,23.337339687374342,24.513129494161074,29.580807788134326,31.0010401676087,Thursday
10,2020-02-14,32.14607655323141,30.173259787755104,31.749836057757015,33.952810150537495,20.65487355483133,28.29162507677225,29.442939525766494,26.475763380865175,24.85343707026666,28.48877366355462,31.53850863402389,32.80756974633334,23.376208297533456,24.97364648637161,29.81361031089554,30.692376575,Friday
11,2020-02-15,32.69170500390434,32.960095362426046,33.68007346529524,35.96982155431248,23.185503660469873,31.175032991679114,28.429912590663097,30.310650213848096,27.737325125925924,29.696700131632646,32.665207993282685,35.043228699850744,25.225575087683612,28.254180298106387,32.352005575864666,33.87157304977273,Saturday
12,2020-02-16,31.051697533434357,33.554160224654304,33.50949842101851,35.32850175008751,23.825092228236354,29.68079332330855,28.11258633264514,30.144692766468353,27.718440122567884,30.179966984262624,32.46585127123851,35.391247529062504,25.60223196693506,28.429327560571416,32.54456686515152,33.78444433076923,Sunday
13,2020-02-17,31.765654630532786,30.043102970867356,30.742214255981317,33.18477764763749,20.242309909825316,27.514908317544478,25.184037949633677,26.090682643561813,24.36563756876667,27.453151163249984,33.022831878354594,34.12543349260868,22.635300845989367,24.460031229677853,28.42443980432837,31.69696221891305,Monday
14,2020-02-18,30.943962385622942,29.654284591734694,30.54991272570093,33.053331206712485,19.84045120624096,27.309972414377217,26.685232111980206,27.400680160224717,24.76880125260001,27.656205399791663,32.566602220340165,33.33596838257144,22.754871017486213,24.813054766527014,28.474498747149266,30.894487951086948,Tuesday
15,2020-02-19,31.148251735867767,30.7197935505102,30.68257501953271,33.17586759716251,19.69260474857831,27.497615694306063,27.835010047618805,26.86038832750563,25.474590007033328,27.969324285099997,33.79168815739752,33.078173706285725,22.66671295763444,24.51918740309395,28.51531321313432,31.918589384065218,Wednesday
16,2020-02-20,31.530227626363637,30.181555960087177,30.124791751588788,33.668052147262486,19.53066416688555,27.47563462384698,25.102915558856445,27.085470016233327,24.54379326655555,27.247112081725003,32.763685602123516,33.442515939710155,22.391455442818472,24.13596379238926,28.646935883582085,31.93626430978261,Thursday
17,2020-02-21,31.551437125245887,30.345481783247415,30.434670884859813,33.14608183234999,19.942009513710847,27.160618455124553,25.339289475564357,26.094940754102264,25.11395661677778,27.605267624733326,32.646941112099576,33.26673841071428,22.75710618435035,24.293214808288585,28.42724310109702,30.78748505565217,Friday
18,2020-02-22,33.82146599808694,32.71047087338237,32.57735545889815,35.35867478165001,22.73460851743374,29.876451529925664,28.85789682401069,30.84152216759494,27.429544025061734,29.937641266464638,32.28499406792373,34.88198953179104,25.3315424318098,28.32067062148226,32.478432361343266,35.394030084666674,Saturday
19,2020-02-23,31.006038599898993,33.50427134444446,34.149469257476625,35.21591834298751,23.010209275578312,29.585425370410437,28.45817656887097,31.7016731356962,28.05963569308643,29.841054100765298,31.911190451770658,34.120509690461546,25.71219456763359,28.299612819312067,32.11320303835822,33.05655033578948,Sunday
20,2020-02-24,30.680118998760314,30.477405540355335,30.310677143364483,32.98805850034999,19.84369538866265,27.29527219405693,25.103837569410878,27.345863142359555,25.114910355244447,27.279779432083345,31.980701383876504,32.579526224999995,22.897151468142198,24.222539203926182,29.021682497910458,29.719207424130445,Monday
21,2020-02-25,31.03036132122952,29.41742444310204,29.224150864112158,33.58060200786249,19.850727640481935,27.56454257686834,25.396587061460394,27.52110901811235,25.366956573911096,26.615289444891673,32.27935322613544,32.480031656857136,22.600161363076317,24.232329197060817,28.802419443432846,29.14516112326087,Tuesday
22,2020-02-26,30.88817352522313,29.814992841766504,29.860825503831773,33.2977408366875,19.742990211487946,26.775549783487534,25.647143620660085,26.70870402680901,25.390497365666654,27.259807978375004,32.653062606294824,32.64470607685714,22.710003715950226,24.22459943810738,28.86463757731344,29.925173991956523,Wednesday
23,2020-02-27,30.95045354644628,29.95857262484695,30.272933490467278,33.20110802165,19.286522008048195,27.078369560996435,26.15897442780296,26.55568091267047,25.34916334398889,27.83279423547501,34.725330098486054,32.860837704285714,22.670836746789814,23.85834029732214,29.351896453185176,30.404359206304356,Thursday
24,2020-02-28,30.972471681834723,30.416980142755104,30.167140996822425,33.34933481490001,20.18856042301204,27.887803282846967,25.609764791643556,27.038431106044943,25.299554460055557,27.475811164399996,33.130715124047626,32.73020425300001,22.72951889643099,24.437734032838925,28.88984195126867,30.848683021521744,Friday
25,2020-02-29,34.52783671582303,33.41933846858821,33.67365403288889,34.96103418676251,22.752847479783124,29.83813351951674,29.58781918743316,29.627719765717945,27.6544875462963,29.058613608787894,31.856813057584755,34.62333347333334,25.1270783661582,28.164244917482264,32.111023714962386,39.774428764871786,Saturday
26,2020-03-01,31.04907123161616,33.12416586335186,33.96796613055556,35.29566256608749,23.310307483650604,30.00230661619405,28.222822738817193,31.216090209367085,28.17304801209875,29.42369310027273,32.88726306619266,34.61367730355384,25.56422813633912,27.957626519127658,31.590391639511267,32.758142148974365,Sunday
27,2020-03-02,31.351838604155752,30.698868418775508,29.944061557196267,33.5854522500875,19.856116507777106,27.943454300284703,26.710010878128074,26.10611496461364,25.89051828272223,27.603423515183334,32.960479442913396,32.56958194042858,22.823280679690722,23.92376945915437,29.245104133503723,30.66723398695653,Monday
